"","X","address","bedroom","bathroom","carspace","soldprice","yearsold","latitude","longitude","distance_to_train_station"
"144",144,"3/104-110 Elizabeth Street Granville 2142",3,2,2,432000,"2012-06-21",-33.8375569991011,151.001992333216,1077.41268283089
"145",145,"10/104 Elizabeth Street Granville 2142",3,2,2,420000,"2012-06-12",-33.8375569991011,151.001992333216,1077.41268283089
"146",146,"10/104-110 Elizabeth Street Granville 2142",3,2,2,420000,"2012-06-12",-33.8375569991011,151.001992333216,1077.41268283089
"147",147,"11/143-145 Blaxcell Street Granville 2142",3,3,2,395000,"2012-06-09",-33.8450683159032,151.01027390501,1397.11246145855
"148",148,"11/143 Blaxcell Street Granville 2142",3,3,2,395000,"2012-06-09",-33.8450683159032,151.01027390501,1397.11246145855
"149",149,"8/17-19 Wallace Street Granville 2142",3,2,2,382000,"2012-06-01",-33.8301307167067,151.002083360684,957.312828382723
"150",150,"5/140 The Trongate Granville 2142",4,2,1,450000,"2012-05-09",-33.8434157817827,151.011409820528,1205.24334895959
"151",151,"5/36 Louis Street Granville 2142",3,2,2,685000,"2012-05-01",-33.8414133451141,151.007106132343,1080.42446755808
"152",152,"6/43 Crown Street Granville 2142",2,2,1,375000,"2012-04-16",-33.8256963546508,150.995455873662,1712.06568244794
"153",153,"1/50 William Street Granville 2142",2,1,1,525000,"2012-04-01",-33.8366590039044,151.012361334177,453.07986812301
"154",154,"9/39-47 Wellington Road Granville 2142",2,2,1,349000,"2012-03-15",-33.8647576160099,151.0245913691,3764.28945963307
"155",155,"6/23 John Street Granville 2142",4,2,2,425000,"2012-03-01",-33.8391162845488,151.008751835212,785.109472542868
"156",156,"1/104-110 Elizabeth street Granville 2142",4,4,2,536000,"2012-03-01",-33.8375569991011,151.001992333216,1077.41268283089
"157",157,"5/136 Railway Street Granville 2142",2,1,1,370000,"2012-02-02",-33.8254420057989,150.995842949951,1693.29716792155
"158",158,"3/23 Elizabeth Street Granville 2142",3,2,2,548000,"2012-02-01",-33.8374539855111,151.008597189099,625.278916908622
"159",159,"6/39 Wellington Road Granville 2142",2,2,1,3e+05,"2012-02-01",-33.8647576160099,151.0245913691,3764.28945963307
"160",160,"6/39 Wellington Rd Granville 2142",2,2,1,3e+05,"2012-02-01",-33.8647576160099,151.0245913691,3764.28945963307
"161",161,"1/104 Elizabeth Street Granville 2142",4,4,2,536000,"2012-01-01",-33.8375569991011,151.001992333216,1077.41268283089
"162",162,"1 32 Alfred Street Granville 2142",3,2,1,531000,"2012-01-01",-33.829587820838,151.014903816867,429.579153241644
"163",163,"1/32 Alfred Street (Cnr Gray St) Granville 2142",3,2,1,531000,"2012-01-01",-33.829587820838,151.014903816867,429.579153241644
"164",164,"6/23 Elizabeth Street Granville 2142",3,2,2,548000,"2011-12-12",-33.8374863396573,151.008836995349,617.589296214132
"165",165,"10/335-339 Blaxcell Street Granville 2142",3,2,2,395000,"2011-12-09",-33.8560227508918,151.008054963782,2632.79689645462
"166",166,"1/23 Elizabeth Street Granville 2142",4,3,2,588000,"2011-12-07",-33.8374330307531,151.008450589612,630.216252286778
"167",167,"7/23 Elizabeth Street Granville 2142",3,2,2,498000,"2011-12-01",-33.8376310113061,151.00875988184,635.151745105063
"168",168,"3/63-65 Victoria Street Granville 2142",3,2,2,711888,"2011-11-29",-33.8278436306062,151.008964567915,599.277824058061
"169",169,"6/151-155 Blaxcell Street Granville 2142",3,2,1,380500,"2011-11-08",-33.845508533458,151.010116409049,1447.48712720696
"170",170,"2/92 Clyde Street Granville 2142",3,NA,NA,405000,"2011-11-01",-33.8422258029888,151.013233387383,1077.59128540409
"171",171,"9/34 Elizabeth Street Granville 2142",3,1,1,360000,"2011-11-01",-33.8383173215381,151.007460938304,762.381075750378
"172",172,"6/136 Railway Street Granville 2142",2,2,1,382000,"2011-10-01",-33.8254420057989,150.995842949951,1693.29716792155
"173",173,"2/162 William Street Granville 2142",3,2,2,395000,"2011-09-14",-33.8349576032883,151.001456645784,1009.63267768776
"174",174,"1/136 Railway Street Granville 2142",2,2,1,388000,"2011-09-01",-33.8254420057989,150.995842949951,1693.29716792155
"175",175,"3/9 Gray Street Granville 2142",3,2,2,710000,"2011-09-01",-33.8295241183739,151.01431314415,403.725692797222
"176",176,"14/104-110 Elizabeth Street Granville 2142",3,3,3,385000,"2011-08-08",-33.8375569991011,151.001992333216,1077.41268283089
"177",177,"14/104-110 Elizabeth St Granville 2142",3,3,3,385000,"2011-08-08",-33.8375569991011,151.001992333216,1077.41268283089
"178",178,"2/136 Railway Street Granville 2142",2,2,NA,486000,"2011-08-01",-33.8254420057989,150.995842949951,1693.29716792155
"179",179,"3/136 Railway Street Granville 2142",2,2,1,515000,"2011-08-01",-33.8254420057989,150.995842949951,1693.29716792155
"180",180,"8/151 Blaxcell Street Granville 2142",3,2,1,370000,"2011-07-30",-33.845508533458,151.010116409049,1447.48712720696
"181",181,"4/32 Alfred Street (Cnr Gray St) Granville 2142",3,2,1,520000,"2011-07-15",-33.829587820838,151.014903816867,429.579153241644
"182",182,"4 32 Alfred Street Granville 2142",3,2,1,520000,"2011-07-01",-33.829587820838,151.014903816867,429.579153241644
"183",183,"4/136 Railway Street Granville 2142",2,NA,NA,385000,"2011-07-01",-33.8254420057989,150.995842949951,1693.29716792155
"184",184,"4/32 Alfred Street (Cnr Gray St) Granville 2142",3,2,1,165000,"2011-07-01",-33.829587820838,151.014903816867,429.579153241644
"185",185,"6/162 William Street Granville 2142",3,2,2,370000,"2011-06-17",-33.8349576032883,151.001456645784,1009.63267768776
"186",186,"23 Elizabeth Street Granville 2142",3,2,1,2020000,"2011-06-09",-33.8376592583198,151.008528038398,648.270735789396
"187",187,"9/151 Blaxcell Street Granville 2142",3,2,2,412500,"2011-06-01",-33.845508533458,151.010116409049,1447.48712720696
"188",188,"13/39-47 Wellington Road Granville 2142",3,2,2,355000,"2011-05-25",-33.8647576160099,151.0245913691,3764.28945963307
"189",189,"13/39-47 Wellington Rd Granville 2142",3,2,2,355000,"2011-05-25",-33.8647576160099,151.0245913691,3764.28945963307
"190",190,"3/37-41 Elizabeth Street Granville 2142",2,1,1,330000,"2011-05-01",-33.837639854214,151.007283744871,710.59111504801
"191",191,"3/37 Elizabeth Street Granville 2142",2,1,1,530000,"2011-05-01",-33.837639854214,151.007283744871,710.59111504801
"192",192,"9/143-145 Blaxcell Street Granville 2142",2,1,1,342000,"2011-03-17",-33.8450683159032,151.01027390501,1397.11246145855
"193",193,"4/149 Blaxcell Street Granville 2142",3,1,2,417000,"2011-03-10",-33.845268391932,151.01016393444,1420.42066811648
"194",194,"4/149 Blaxcell Street Granville 2142",3,1,2,413500,"2011-03-10",-33.845268391932,151.01016393444,1420.42066811648
"195",195,"10/143-145 Blaxcell Street Granville 2142",2,1,1,333000,"2010-12-14",-33.8450683159032,151.01027390501,1397.11246145855
"196",196,"1 143 Blaxcell Street Granville 2142",4,2,2,420000,"2010-11-23",-33.8450683159032,151.01027390501,1397.11246145855
"197",197,"4/92 Clyde Street Granville 2142",3,2,2,380000,"2010-11-01",-33.8422258029888,151.013233387383,1077.59128540409
"198",198,"3/317 BLAXCELL STREET Granville 2142",2,2,1,325000,"2010-10-20",-33.8496922156527,151.00883874997,1925.01645741341
"199",199,"6 124 RAILWAY STREET Granville 2142",2,1,1,353000,"2010-10-15",-33.8260890468145,150.996451057026,1610.20647995469
"200",200,"4/104-110 Elizabeth Street Granville 2142",3,2,1,370000,"2010-10-06",-33.8375569991011,151.001992333216,1077.41268283089
"201",201,"14/335 Blaxcell Granville 2142",3,1,1,379950,"2010-10-01",-33.8560227508918,151.008054963782,2632.79689645462
"202",202,"2/335 Blaxcell Street Granville 2142",3,2,1,303000,"2010-09-30",-33.8362561696378,151.011013607965,417.09773619893
"203",203,"2 39-47 Wellington Road Granville 2142",2,2,1,298000,"2010-09-11",-33.8644549992098,151.023498272656,3701.99364586243
"204",204,"2/39-47 Wellington Road Granville 2142",2,2,1,298000,"2010-09-11",-33.8647576160099,151.0245913691,3764.28945963307
"205",205,"2/39-47 Wellington Rd Granville 2142",2,2,1,298000,"2010-09-11",-33.8647576160099,151.0245913691,3764.28945963307
"206",206,"14 39 Wellington Road Granville 2142",3,2,2,350000,"2010-09-03",-33.8647576160099,151.0245913691,3764.28945963307
"207",207,"14/39 Wellington Road Granville 2142",3,2,2,350000,"2010-09-03",-33.8647576160099,151.0245913691,3764.28945963307
"208",208,"14/39 Wellington Rd Granville 2142",3,2,2,350000,"2010-09-03",-33.8647576160099,151.0245913691,3764.28945963307
"209",209,"6/124 Railway Street Granville 2142",2,1,1,353000,"2010-09-01",-33.8260890468145,150.996451057026,1610.20647995469
"210",210,"1/17-19 Brussels Street Granville 2142",3,2,2,4e+05,"2010-08-30",-33.8517178892399,151.013201033237,2131.08886232208
"211",211,"3/124 RAILWAY STREET Granville 2142",2,2,1,369000,"2010-08-23",-33.8260890468145,150.996451057026,1610.20647995469
