"","address","bedroom","bathroom","carspace","soldprice","yearsold","latitude","longitude","distance_to_train_station"
"451","3/109 Park Road Auburn 2144",3,2,2,401000,2011-11-15,-33.8592720794767,151.028015041271,1229.42729902121
"452","3/109 PARK RD Auburn 2144",3,2,NA,401000,2011-11-15,-33.8592720794767,151.028015041271,1229.42729902121
"453","10/21 Hargrave Road Auburn 2144",3,1,NA,816000,2011-11-01,-33.8600562903378,151.032106751125,1232.96332852798
"454","6/57 Harrow Road Auburn 2144",2,2,1,372000,2011-11-01,-33.8557431306018,151.030135746594,792.949578737567
"455","1/1-3 Kennington Oval Auburn 2144",3,1,2,382000,2011-10-26,-33.8719987421632,151.021853839523,2756.32197280564
"456","13/28 Elsham Road Auburn 2144",3,2,1,417000,2011-10-07,-33.8609769585826,151.035631928144,1356.97808076052
"457","1 Embers Way Auburn 2144",2,1,1,1430000,2011-10-01,-33.8732082507914,151.01733783773,3054.77180396668
"458","1/29 St Johns Road Auburn 2144",3,2,2,370000,2011-10-01,-33.87105196429,151.022325824491,2642.265415854
"459","1/1 Kennington Oval OVAL Auburn 2144",3,1,2,1315000,2011-10-01,-33.8719987421632,151.021853839523,2756.32197280564
"460","1/38 Macquarie Road Auburn 2144",2,NA,NA,307000,2011-10-01,-33.8457549614114,151.033783383218,370.35358464682
"461","3/5 Northcote Street Auburn 2144",2,1,1,368800,2011-10-01,-33.8497454178751,151.02827747866,435.339906428343
"462","2/38 Macquarie Road Auburn 2144",2,1,1,3e+05,2011-10-01,-33.8457549614114,151.033783383218,370.35358464682
"463","3/17 - 21 Kirkham Rd Auburn 2144",3,2,2,440000,2011-09-27,-33.8720158412457,151.020772993109,2796.62026797535
"464","3/24 Hevington Road Auburn 2144",3,2,1,747000,2011-09-11,-33.8604060252478,151.034219828916,1275.56180799798
"465","3/17-21 Kirkham Street Auburn 2144",3,2,2,440000,2011-09-01,-33.8720158412457,151.020772993109,2796.62026797535
"466","3 17 - 21 Kirkham Road Auburn 2144",3,2,2,440000,2011-09-01,-33.8720158412457,151.020772993109,2796.62026797535
"467","3/17 Kirkham Road Auburn 2144",3,2,2,438000,2011-09-01,-33.8720158412457,151.020772993109,2796.62026797535
"468","15 Coachwood Street Auburn 2144",3,2,2,1075000,2011-09-01,-33.8735993503936,151.017623995905,3081.0328139753
"469","3/17-21 Kirkham Road Auburn 2144",3,2,2,440000,2011-09-01,-33.8720158412457,151.020772993109,2796.62026797535
"470","5/56-58 SUSAN STREET Auburn 2144",3,2,2,488000,2011-09-01,-33.8568291318867,151.033317936134,872.390992177545
"471","3/58-60 Helena Street Auburn 2144",3,1,1,4e+05,2011-08-18,-33.8573175034753,151.030955077629,943.196857271077
"472","7/78 Helena Street Auburn 2144",2,1,1,1075000,2011-08-01,-33.8570823491817,151.029387075002,956.541182770238
"473","3/58-60 Helena Street Auburn 2144",3,1,1,1075000,2011-08-01,-33.8573175034753,151.030955077629,943.196857271077
"474","4/33 Macquarie Road Auburn 2144",3,2,NA,326000,2011-07-29,-33.8456274726641,151.034940672589,420.168582028118
"475","4/33 Macquarie Rd Auburn 2144",3,2,NA,326000,2011-07-29,-33.8456274726641,151.034940672589,420.168582028118
"476","22/277 Park Road Auburn 2144",3,1,1,320000,2011-07-27,-33.8706394489252,151.025656876632,2500.21326241141
"477","5/69 Macquarie Road Auburn 2144",3,1,1,380000,2011-07-16,-33.8436909177544,151.036498868389,678.230620062844
"478","2/2A Gordon Road Auburn 2144",3,1,2,395000,2011-07-07,-33.8556445594205,151.026929836267,922.896392670249
"479","2/2A Gordon Road Auburn 2144",3,1,2,395000,2011-07-07,-33.8556445594205,151.026929836267,922.896392670249
"480","11/128 Auburn Road Auburn 2144",3,1,1,382000,2011-07-01,-33.8585812849265,151.031899801936,1070.58426706892
"481","6/167-171 Rawson Street Auburn 2144",4,1,1,440000,2011-06-17,-33.846597300771,151.030862289961,327.155143369656
"482","6/167 Rawson Street Auburn 2144",4,1,1,440000,2011-06-17,-33.846597300771,151.030862289961,327.155143369656
"483","6/167 Rawson St Auburn 2144",4,1,1,440000,2011-06-17,-33.846597300771,151.030862289961,327.155143369656
"484","9/24 Norval Street Auburn 2144",3,2,2,425000,2011-06-05,-33.8599075115565,151.034442368445,1222.5618752164
"485","7/24 Norval Street Auburn 2144",3,2,2,795000,2011-06-04,-33.8599075115565,151.034442368445,1222.5618752164
"486","2/42 Helena Street Auburn 2144",3,3,2,762000,2011-05-30,-33.8576023624547,151.032826840427,957.634491947842
"487","3/8 Elsham Road Auburn 2144",3,2,2,455000,2011-05-27,-33.8587034511653,151.035949686093,1116.37000298432
"488","3/8 Elsham Road Auburn 2144",3,2,2,455000,2011-05-27,-33.8587034511653,151.035949686093,1116.37000298432
"489","6/44 Park Road Auburn 2144",2,1,1,377500,2011-05-01,-33.8530654059039,151.030221996377,515.854217412952
"490","1/8 Dartbrook Road Auburn 2144",3,1,2,815000,2011-05-01,-33.8498482638271,151.036086143477,309.328554950341
"491","30-32 St Johns Road Auburn 2144",3,2,2,5e+05,2011-04-29,-33.8714475063008,151.020110990396,2764.38955490545
"492","8/17-21 Kirkham Road Auburn 2144",3,2,2,426000,2011-04-13,-33.8720158412457,151.020772993109,2796.62026797535
"493","8/17-21 Kirkham Rd Auburn 2144",3,2,2,426000,2011-04-13,-33.8720158412457,151.020772993109,2796.62026797535
"494","4/8 dartbrook Road Auburn 2144",3,1,2,680000,2011-04-01,-33.8498482638271,151.036086143477,309.328554950341
"495","1/45 Edgar Street Auburn 2144",3,2,2,375000,2011-03-30,-33.8541757566175,151.023590569861,1035.70122668688
"496","12/30-32 St Johns Road Auburn 2144",3,2,3,470000,2011-03-16,-33.8714475063008,151.020110990396,2764.38955490545
"497","3/75 Dartbrook Road Auburn 2144",3,1,1,355000,2011-02-14,-33.8472284161706,151.039104047715,606.537590758241
"498","3/75 Dartbrook Rd Auburn 2144",3,1,1,355000,2011-02-14,-33.8472284161706,151.039104047715,606.537590758241
"499","10/17 Macquarie Road Auburn 2144",2,1,1,3e+05,2011-02-12,-33.8472476526384,151.033707275537,208.86077581674
"500","10/17 Macquarie Rd Auburn 2144",2,1,1,3e+05,2011-02-12,-33.8472476526384,151.033707275537,208.86077581674
"501","8/17 Macquarie Road Auburn 2144",2,1,1,885000,2011-02-01,-33.8472476526384,151.033707275537,208.86077581674
"502","4/24 Helena Street Auburn 2144",3,1,1,380000,2011-02-01,-33.8578951842421,151.034867666212,1006.77703478869
"503","11/273-275 PARK ROAD Auburn 2144",3,1,2,374000,2010-12-18,-33.8703318330787,151.025674562448,2466.79457924359
"504","1/17-21 Kirkham Road Auburn 2144",3,2,1,425000,2010-12-14,-33.8720158412457,151.020772993109,2796.62026797535
"505","11/17-21 kirkham Road Auburn 2144",3,2,1,425000,2010-12-14,-33.8720158412457,151.020772993109,2796.62026797535
"506","1/17-21 Kirkham Rd Auburn 2144",3,2,1,425000,2010-12-14,-33.8720158412457,151.020772993109,2796.62026797535
"507","11/273-275 PARK ROAD Auburn 2144",3,1,2,1230000,2010-12-01,-33.8703318330787,151.025674562448,2466.79457924359
"508","1/17-21 Kirkham Street Auburn 2144",3,2,2,780000,2010-12-01,-33.8720158412457,151.020772993109,2796.62026797535
"509","13/17-21 Kirkham Street Auburn 2144",2,1,1,398000,2010-12-01,-33.8720158412457,151.020772993109,2796.62026797535
"510","39 Karrabah Road Auburn 2144",3,2,2,380000,2010-11-30,-33.8438658061642,151.032136003967,575.884112437092
"511","39 Karrabah Rd Auburn 2144",3,2,2,380000,2010-11-30,-33.8438658061642,151.032136003967,575.884112437092
"512","13/17-21 Kirkham Road Auburn 2144",2,1,1,398000,2010-11-29,-33.8720158412457,151.020772993109,2796.62026797535
"513","20/17-21 Kirkham Road Auburn 2144",2,1,1,398000,2010-11-29,-33.8720158412457,151.020772993109,2796.62026797535
"514","13/17-21 Kirkham Rd Auburn 2144",2,1,1,398000,2010-11-29,-33.8720158412457,151.020772993109,2796.62026797535
"515","4/181 Auburn Road Auburn 2144",2,1,1,355000,2010-11-24,-33.8587656029774,151.030811663266,1104.11167137706
"516","4/181 Auburn Rd Auburn 2144",2,1,1,355000,2010-11-24,-33.8587656029774,151.030811663266,1104.11167137706
"517","5/9 Raglan Road Auburn 2144",3,2,1,380000,2010-11-10,-33.873348438122,151.023006183572,2860.5959983696
"518","5/9 Raglan Road Auburn 2144",3,2,1,380000,2010-11-10,-33.873348438122,151.023006183572,2860.5959983696
"519","2/27-29 Hargrave Road Auburn 2144",4,2,2,1100000,2010-11-01,-33.8604194362929,151.032031984549,1273.73600200917
"520","18 Tarakan Street Auburn 2144",3,2,2,1777000,2010-11-01,-33.8738606562251,151.019198117321,3043.541272489
"521","3/29 St Johns Street Auburn 2144",3,2,2,380000,2010-10-17,-33.87105196429,151.022325824491,2642.265415854
"522","5/3-5 Louisa Street Auburn 2144",4,3,2,1238888,2010-10-01,-33.8558867545127,151.035424727497,801.373811281352
"523","25 Coachwood Street Auburn 2144",3,2,2,465000,2010-09-21,-33.8739321119496,151.017556689222,3116.82736654079
"524","3/277 Park Road Auburn 2144",3,1,1,318500,2010-09-13,-33.8706394489252,151.025656876632,2500.21326241141
"525","17-21 Kirkham Road Auburn 2144",2,1,1,419000,2010-08-28,-33.8720158412457,151.020772993109,2796.62026797535
"526","8/181 Auburn Road Auburn 2144",2,2,1,708000,2010-08-01,-33.8584845577639,151.030733041014,1074.65299632075
"527","5/42 Norval Street Auburn 2144",2,1,1,972000,2010-08-01,-33.8594713173152,151.030523828711,1186.17922827301
"528","3/1 Elsham Road Auburn 2144",1,1,NA,1250000,2010-08-01,-33.8583001139845,151.035225657297,1057.37298138636
"529","6/69 Macquarie Road Auburn 2144",3,1,1,590000,2010-08-01,-33.8436909177544,151.036498868389,678.230620062844
"530","17-21 Kirkham Road Auburn 2144",2,1,1,419000,2010-07-28,-33.8720158412457,151.020772993109,2796.62026797535
"531","2/8 Dartbrook Road Auburn 2144",3,1,2,425000,2010-06-05,-33.8498482638271,151.036086143477,309.328554950341
"532","2/5 New Street Auburn 2144",3,1,1,870000,2010-06-01,-33.864862096433,151.023547319241,1966.06938721746
"533","1/44 Macquarie Road Auburn 2144",4,1,2,435000,2010-05-05,-33.8454270194496,151.034042132569,411.520561411317
"534","1/44 Macquarie Rd Auburn 2144",4,1,2,435000,2010-05-05,-33.8454270194496,151.034042132569,411.520561411317
"535","7/68 Dartbrook Road Auburn 2144",3,2,1,610000,2010-05-01,-33.8455105451148,151.039397414326,715.360892679934
"536","14/17 Kirkham Road Auburn 2144",3,1,1,1270000,2010-05-01,-33.8720158412457,151.020772993109,2796.62026797535
"537","9/181 Auburn Road Auburn 2144",3,1,1,325000,2010-05-01,-33.8583942427572,151.030745027135,1064.56915315408
"538","9/181 Auburn Road Auburn 2144",3,1,1,325000,2010-05-01,-33.8583942427572,151.030745027135,1064.56915315408
"539","54 Raglan Road Auburn 2144",2,1,1,353000,2010-04-08,-33.873207244963,151.01816370665,3019.47212676857
"540","34 Palace Street Auburn 2144",3,2,2,1038888,2010-04-01,-33.8751728012577,151.020743824086,3122.72422561615
"541","4/71 Station Road Auburn 2144",3,1,2,1043888,2010-04-01,-33.8454977208029,151.038620998635,657.087688213328
"542","1/277 Park Road Auburn 2144",3,1,1,317000,2010-03-12,-33.8706394489252,151.025656876632,2500.21326241141
"543","2/75 Dartbrook Road Auburn 2144",2,1,1,420000,2010-03-01,-33.8472284161706,151.039104047715,606.537590758241
"544","14/1 Kennington Oval OVAL Auburn 2144",3,2,3,895000,2010-03-01,-33.8719987421632,151.021853839523,2756.32197280564
"545","1/71 Station Road Auburn 2144",3,1,2,1750000,2010-02-20,-33.8454977208029,151.038620998635,657.087688213328
"546","8 Ettalong Street Auburn 2144",2,1,1,435000,2010-02-09,-33.8615940342944,151.024940475367,1583.32688315836
"547","8 ETTALONG STREET Auburn 2144",2,1,1,435000,2010-02-09,-33.8615940342944,151.024940475367,1583.32688315836
"548","1/3-5 LOUISA Street Auburn 2144",3,2,2,548000,2010-02-01,-33.8558867545127,151.035424727497,801.373811281352
"549","3/78 Water Street Auburn 2144",3,2,1,316500,2010-01-18,-33.8612594706292,151.033325731304,1365.28541060162
"550","3/78 Water Street Auburn 2144",3,2,1,316500,2010-01-15,-33.8612594706292,151.033325731304,1365.28541060162
"551","2/89 Harrow Road Auburn 2144",2,1,1,345000,2010-01-01,-33.8596412604021,151.029519173796,1225.11743781502
"552","31/35 HARROW ROAD Auburn 2144",3,2,2,396800,2009-12-18,-33.8537400652905,151.030618376579,568.260584736602
"553","2/14 Kennington Oval OVAL Auburn 2144",3,2,1,1055000,2009-10-01,-33.8727518561635,151.022900403954,2800.96373054896
"554","4/17-21 Kirkham Road Auburn 2144",3,2,2,748000,2009-10-01,-33.8720158412457,151.020772993109,2796.62026797535
"555","181 Auburn Road Auburn 2144",2,1,1,325000,2009-09-08,-33.8583942427572,151.030745027135,1064.56915315408
"556","5/9-11 Louisa Street Auburn 2144",3,2,1,680111,2009-09-01,-33.8561698532925,151.035358007548,829.862306503216
"557","20/28 Elsham Road Auburn 2144",4,2,2,1095000,2009-09-01,-33.8607694645695,151.035770900098,1336.78176969118
"558","3/44 Park Road Auburn 2144",2,1,1,271000,2009-09-01,-33.8530654059039,151.030221996377,515.854217412952
"559","5/39-41 Karrabah Road Auburn 2144",3,2,1,380000,2009-08-01,-33.8438658061642,151.032136003967,575.884112437092
"560","3/4 Cockthorpe Road Auburn 2144",3,2,1,405000,2009-08-01,-33.8585399202344,151.036536335496,1113.91548610351
"561","3/181 Auburn Road Auburn 2144",3,1,1,440000,2009-08-01,-33.8587753678946,151.0309073846,1103.67054784904
"562","5 NORTHCOTE STREET Auburn 2144",2,1,1,331500,2009-07-15,-33.8497454178751,151.02827747866,435.339906428343
"563","9/305 Park Road Auburn 2144",3,2,2,345000,2009-07-09,-33.8735612127341,151.025262843364,2823.81310025901
"564","2/27-29 Cockthorpe Road Auburn 2144",3,3,3,715000,2009-07-03,-33.8602434582358,151.036894075124,1304.9433823572
"565","9/17-21 Kirkham Road Auburn 2144",3,2,2,445000,2009-07-01,-33.8720158412457,151.020772993109,2796.62026797535
"566","6/60 Northumberland Road Auburn 2144",2,1,1,850000,2009-07-01,-33.8454553083728,151.035835776029,478.930549895042
"567","3/64 Harrow Road Auburn 2144",3,2,1,345000,2009-07-01,-33.8574419747374,151.03055500939,964.437100430219
"568","2/5 Northcote Street Auburn 2144",2,1,1,720000,2009-06-20,-33.8497454178751,151.02827747866,435.339906428343
"569","17 MACQUARIE ROAD Auburn 2144",2,1,1,260000,2009-06-12,-33.8472476526384,151.033707275537,208.86077581674
"570","15/17 Kirkham Road Auburn 2144",3,2,2,425000,2009-06-01,-33.8720158412457,151.020772993109,2796.62026797535
"571","3/21 Hargrave Road Auburn 2144",3,1,1,305000,2009-06-01,-33.8600562903378,151.032106751125,1232.96332852798
"572","10/277 Park Road Auburn 2144",3,1,1,311000,2009-05-27,-33.8706394489252,151.025656876632,2500.21326241141
"573","4/38 ST JOHNS ROAD Auburn 2144",3,2,2,395000,2009-05-21,-33.8713482645673,151.019380675172,2784.051224968
"574","5/23 Elsham Road Auburn 2144",3,1,1,615000,2009-05-01,-33.8604346913567,151.034795749483,1284.91186134776
"575","2/4 Cockthorpe Road Auburn 2144",4,2,1,415000,2009-04-01,-33.8585399202344,151.036536335496,1113.91548610351
"576","7/61 Station Road Auburn 2144",3,2,2,410000,2009-03-28,-33.846225228089,151.038006605132,564.189874343718
"577","7/21 Hargrave Road Auburn 2144",3,1,2,3e+05,2009-03-01,-33.8600562903378,151.032106751125,1232.96332852798
"578","7/27-29 Hargrave Road Auburn 2144",4,2,2,412000,2009-02-26,-33.8604194362929,151.032031984549,1273.73600200917
"579","5/45 Marion Street Auburn 2144",3,2,2,425000,2009-02-01,-33.856482749738,151.033953284395,838.648007577693
"580","2/24 Norval Street Auburn 2144",4,2,1,385000,2009-02-01,-33.8599075115565,151.034442368445,1222.5618752164
"581","5/128 Auburn Road Auburn 2144",3,1,1,73000,2009-02-01,-33.858837310159,151.031968030628,1098.46839914172
"582","11/58 Helena Street Auburn 2144",3,1,1,370000,2009-02-01,-33.8579273288408,151.030857847552,1011.55917592596
"583","2/42 Norval Street Auburn 2144",2,1,1,3e+05,2009-02-01,-33.8594713173152,151.030523828711,1186.17922827301
"584","9/1 Elsham Road Auburn 2144",2,1,NA,680000,2009-01-01,-33.8583001139845,151.035225657297,1057.37298138636
"585","1/8 - 10 Edgar Street Auburn 2144",4,2,2,387500,2008-12-12,-33.8555526518522,151.028095172266,854.044083546
"586","3/5 New Street Auburn 2144",2,1,1,286000,2008-12-05,-33.864862096433,151.023547319241,1966.06938721746
"587","3/5 New Street Auburn 2144",2,1,1,286000,2008-12-05,-33.864862096433,151.023547319241,1966.06938721746
"588","1/8 Edgar Street Auburn 2144",4,3,2,387500,2008-12-01,-33.8555526518522,151.028095172266,854.044083546
"589","8/1 Elsham Road Auburn 2144",2,1,NA,220000,2008-12-01,-33.8583001139845,151.035225657297,1057.37298138636
"590","101 NORTHUMBERLAND ROAD Auburn 2144",2,1,1,250000,2008-10-21,-33.8433290290848,151.038381108566,809.522828791063
"591","101 NORTHUMBERLAND ROAD Auburn 2144",2,1,NA,250000,2008-10-21,-33.8433290290848,151.038381108566,809.522828791063
"592","4/69 MACQUARIE ROAD Auburn 2144",3,1,1,300500,2008-09-22,-33.8436909177544,151.036498868389,678.230620062844
"593","4/69 MACQUARIE ROAD Auburn 2144",3,1,1,300500,2008-09-22,-33.8436909177544,151.036498868389,678.230620062844
"594","2/7 Queen Street Auburn 2144",3,1,1,276000,2008-08-01,-33.8534161885518,151.034665075613,517.982674703105
"595","5/75 Dartbrook Road Auburn 2144",2,1,1,782000,2008-03-01,-33.8472284161706,151.039104047715,606.537590758241
"596","3/167 Rawson Street Auburn 2144",4,NA,NA,340000,2007-10-01,-33.846597300771,151.030862289961,327.155143369656
"597","30 Tarakan Street Auburn 2144",2,1,1,305000,2007-08-01,-33.8741450122903,151.019369443422,3065.85691413929
"598","4 Tarakan Street Auburn 2144",3,1,1,570000,2007-08-01,-33.8733895513571,151.01929685614,2992.08869019224
"599","3/43 Station Road Auburn 2144",3,3,2,270000,2007-07-01,-33.8471242291141,151.037338735087,460.443173368201
"600","6/273 Park Road Auburn 2144",3,2,1,310000,2007-07-01,-33.8703318330787,151.025674562448,2466.79457924359
"601","1/33 Macquarie Road Auburn 2144",2,1,1,925000,2007-07-01,-33.8456274726641,151.034940672589,420.168582028118
"602","4/45 Edgar Street Auburn 2144",3,2,2,336000,2007-06-01,-33.8541757566175,151.023590569861,1035.70122668688
"603","1/72 Water Street Auburn 2144",3,2,2,378000,2007-06-01,-33.8612766954402,151.033900478405,1369.76159602614
"604","4/301 Park Road Auburn 2144",3,1,1,308000,2007-06-01,-33.872898371831,151.02539385251,2749.35039484929
"605","1/75 Dartbrook Road Auburn 2144",3,1,2,765000,2007-06-01,-33.8472284161706,151.039104047715,606.537590758241
"606","1/24 Cornwall Road Auburn 2144",3,NA,NA,320000,2007-05-01,-33.8701159152529,151.025091349625,2458.94814351965
"607","4/54 St Johns Road Auburn 2144",3,2,2,1651000,2007-04-01,-33.8711478113528,151.017906466042,2828.35646122294
"608","2/11 New Street Auburn 2144",2,1,2,275000,2007-04-01,-33.8652530283971,151.023540362261,2005.52180406639
"609","17 Kirkham Road Auburn 2144",3,2,2,980000,2007-03-01,-33.8720158412457,151.020772993109,2796.62026797535
"610","21/17-21 Kirkham Road Auburn 2144",2,1,1,5e+05,2007-03-01,-33.8720158412457,151.020772993109,2796.62026797535
"611","19/17-21 Kirkham Road Auburn 2144",2,1,1,1470000,2007-03-01,-33.8720158412457,151.020772993109,2796.62026797535
"612","1/57 Mary Street Auburn 2144",4,3,NA,1050000,2007-02-01,-33.8505286229078,151.023119339264,920.103597070674
"613","13 Raglan Road Auburn 2144",3,2,2,450000,2006-12-01,-33.8734114281244,151.0226279921,2878.58254704074
"614","11 Raglan Road Auburn 2144",3,2,2,450000,2006-12-01,-33.8733977237127,151.022635368175,2876.91748401069
"615","1/64 Harrow Road Auburn 2144",3,2,NA,1060000,2006-12-01,-33.8574419747374,151.03055500939,964.437100430219
"616","5/18 Macquarie Road Auburn 2144",3,1,2,334000,2006-12-01,-33.8468135538729,151.033020378572,243.648385212055
"617","3/25 Macquarie Road Auburn 2144",2,1,1,280000,2006-11-01,-33.8459711726038,151.034663399232,374.514969263638
"618","3/38 Cornwall Road Auburn 2144",2,1,1,270000,2006-10-01,-33.8699705311423,151.023982591473,2475.69715206512
"619","1/54 St Johns Road Auburn 2144",3,3,2,618000,2006-10-01,-33.8711478113528,151.017906466042,2828.35646122294
"620","6/33 Macquarie Road Auburn 2144",2,1,1,233000,2006-10-01,-33.8456274726641,151.034940672589,420.168582028118
"621","3 Louisa Street Auburn 2144",3,2,2,1057000,2006-09-01,-33.8558867545127,151.035424727497,801.373811281352
"622","6/110 Auburn Road Auburn 2144",3,1,2,302500,2006-07-01,-33.8568831532527,151.031967360076,881.774055529377
"623","16 Elsham Road Auburn 2144",9,4,4,1250000,2006-06-01,-33.8591917808443,151.035852204559,1166.90840588218
"624","7/33 Macquarie Road Auburn 2144",2,1,1,470000,2006-06-01,-33.8456274726641,151.034940672589,420.168582028118
"625","2/4 Simpson Street Auburn 2144",3,1,1,465000,2006-05-01,-33.847183363441,151.040098728165,695.587728615992
"626","4/27 Hargrave Road Auburn 2144",4,2,2,378000,2006-04-01,-33.8604194362929,151.032031984549,1273.73600200917
"627","2/24 Cornwall Road Auburn 2144",3,1,1,320000,2006-02-01,-33.8701159152529,151.025091349625,2458.94814351965
"628","4/42 Norval Street Auburn 2144",2,1,1,530000,2006-01-01,-33.8594713173152,151.030523828711,1186.17922827301
"629","5/27 Hargrave Road Auburn 2144",4,2,1,415000,2005-12-01,-33.8604194362929,151.032031984549,1273.73600200917
"630","9/114 Auburn Road Auburn 2144",3,2,1,381800,2005-12-01,-33.8578727626511,151.032156958725,990.097181614555
"631","3/38 St Johns Road Auburn 2144",3,2,2,1200000,2005-12-01,-33.8713482645673,151.019380675172,2784.051224968
"632","4/128 Auburn Road Auburn 2144",3,1,1,555000,2005-11-01,-33.8588287606178,151.031904076707,1097.99955047668
"633","138 Cumberland Road Auburn 2144",2,1,1,1125000,2005-10-01,-33.8575525739498,151.024436890625,1232.30207427255
"634","4/80 Harrow Road Auburn 2144",3,2,2,282000,2005-08-01,-33.8583988947134,151.03039659142,1071.57029345613
"635","7/23 Elsham Road Auburn 2144",3,1,1,440000,2005-07-01,-33.8604346913567,151.034795749483,1284.91186134776
"636","1/7 Helena Street Auburn 2144",3,2,2,1001730,2005-06-01,-33.8573922281421,151.036245483456,984.082754260867
"637","3/40 St Johns Road Auburn 2144",3,2,2,1270000,2005-05-01,-33.8713198499155,151.019171714326,2789.958153938
"638","8/1 Kennington Oval OVAL Auburn 2144",3,1,1,324500,2005-05-01,-33.8719987421632,151.021853839523,2756.32197280564
"639","7/305 Park Road Auburn 2144",3,1,1,348000,2005-05-01,-33.8735612127341,151.025262843364,2823.81310025901
"640","3/14 Queen Street Auburn 2144",3,2,1,1240000,2005-03-01,-33.8562649040745,151.03589453317,854.795975218101
"641","6/40 St Johns Road Auburn 2144",3,2,NA,4e+05,2005-03-01,-33.8713198499155,151.019171714326,2789.958153938
"642","15/277 Park Road Auburn 2144",3,NA,NA,280000,2005-02-01,-33.8706394489252,151.025656876632,2500.21326241141
"643","2/277 Park Road Auburn 2144",3,1,1,546800,2004-07-01,-33.8706394489252,151.025656876632,2500.21326241141
"644","45-47 Marion Street Auburn 2144",3,2,3,65000,2004-06-01,-33.856482749738,151.033953284395,838.648007577693
"645","6/38 St Johns Road Auburn 2144",3,2,2,435000,2004-06-01,-33.8713482645673,151.019380675172,2784.051224968
"646","3/1A Raglan Road Auburn 2144",2,1,1,290000,2004-01-01,-33.8737999712461,151.024983809807,2856.05460780517
"647","5/1 Kennington Oval OVAL Auburn 2144",3,2,1,3e+05,2004-01-01,-33.8719987421632,151.021853839523,2756.32197280564
"648","7/17-21 Kirkham Road Auburn 2144",3,2,2,575000,2003-12-01,-33.8720158412457,151.020772993109,2796.62026797535
"649","2/23 Elsham Road Auburn 2144",3,1,NA,450000,2003-11-01,-33.8604346913567,151.034795749483,1284.91186134776
"650","3/68 Dartbrook Road Auburn 2144",3,1,NA,410000,2003-10-01,-33.8455105451148,151.039397414326,715.360892679934
"651","2/31 Wellington Road Auburn 2144",3,2,1,410000,2003-10-01,-33.8649064367008,151.025232752331,1907.28643147306
"652","6/128 Auburn Road Auburn 2144",3,NA,NA,320000,2003-10-01,-33.8585286884841,151.031541391756,1068.1388128982
"653","2/31A Provincial Street Auburn 2144",3,2,1,440000,2003-09-01,-33.8556861755697,151.025748490834,995.53810989224
"654","21/277 Park Road Auburn 2144",3,NA,NA,590000,2003-09-01,-33.8706394489252,151.025656876632,2500.21326241141
"655","18 COCKTHORPE Road Auburn 2144",3,2,2,351000,2003-05-01,-33.8606152794606,151.036294349952,1330.53850761484
"656","1/41 Karrabah Road Auburn 2144",2,2,1,269000,2003-04-01,-33.8438658061642,151.032136003967,575.884112437092
"657","4/9a-11 Louisa Street Auburn 2144",3,1,1,365000,2003-04-01,-33.8563190930785,151.035322635917,844.980192905433
"658","4/31 Cornwall Road Auburn 2144",2,1,1,278000,2003-03-01,-33.8691288623349,151.022983720071,2420.98641999875
"659","28 Norval Street Auburn 2144",3,1,1,1011000,2003-03-01,-33.8599075115565,151.034442368445,1222.5618752164
"660","5/31 Cornwall Road Auburn 2144",2,1,1,562500,2003-02-01,-33.8691288623349,151.022983720071,2420.98641999875
"661","5/89 Harrow Road Auburn 2144",2,1,1,790000,2002-11-01,-33.8596412604021,151.029519173796,1225.11743781502
"662","2/8 Edgar Street Auburn 2144",4,2,2,725000,2002-06-01,-33.8555526518522,151.028095172266,854.044083546
"663","3/78 Water Street Auburn 2144",3,2,1,930000,2002-06-01,-33.8612594706292,151.033325731304,1365.28541060162
"664","4/14 Kennington Oval OVAL Auburn 2144",3,2,1,287000,2002-05-01,-33.8727518561635,151.022900403954,2800.96373054896
"665","1/27-29 Hargrave Road Auburn 2144",4,2,2,490000,2002-03-01,-33.8604194362929,151.032031984549,1273.73600200917
"666","4/29 Gibbons Street Auburn 2144",2,1,1,542000,2002-03-01,-33.8456301548731,151.033240152073,376.445339893405
"667","4/57 Harrow Road Auburn 2144",2,2,1,265000,2002-01-01,-33.8557431306018,151.030135746594,792.949578737567
"668","6 Edgar Street Auburn 2144",4,2,2,387000,2001-08-01,-33.8555907056926,151.028354759807,845.485067299499
"669","2/56 Susan Street Auburn 2144",3,2,1,762500,2001-07-01,-33.8568291318867,151.033317936134,872.390992177545
"670","4/21 Hargrave Road Auburn 2144",3,1,1,488000,2001-06-01,-33.8600562903378,151.032106751125,1232.96332852798
"671","15/114 Auburn Road Auburn 2144",4,2,2,192500,2001-05-01,-33.857953019374,151.031638286557,1003.44786363819
"672","5/56-58 Susan Street Auburn 2144",3,2,2,780000,2001-02-01,-33.8568291318867,151.033317936134,872.390992177545
"673","1-3 Kennington Oval OVAL Auburn 2144",3,2,3,425000,2001-01-01,-33.8719987421632,151.021853839523,2756.32197280564
"674","110-112 Auburn Road Auburn 2144",3,1,2,658000,2000-06-01,-33.8568831532527,151.031967360076,881.774055529377
