"","X","address","bedroom","bathroom","carspace","soldprice","yearsold","latitude","longitude","distance_to_train_station"
"157",157,"10A Rupert Street Merrylands 2160",4,3,1,680000,"2014-09-09",-33.8345176371907,150.974972513958,1641.98336065474
"158",158,"2/11-11A Ellis Street Merrylands 2160",3,2,1,543000,"2014-09-03",-33.8279302575756,150.977246691928,1698.14650832227
"159",159,"3/11-13 Torrens Street Merrylands 2160",3,1,1,450000,"2014-08-30",-33.8361963228491,150.969605413717,2126.23888461857
"160",160,"3/10-12 Wright Street Merrylands 2160",2,2,1,525000,"2014-08-28",-33.8277686963918,150.975646418974,1832.9248704492
"161",161,"32 Rita Street Merrylands 2160",3,2,2,615000,"2014-08-27",-33.8217851490815,150.983994543079,1801.11702640133
"162",162,"4/35 Lansdowne Street Merrylands 2160",2,2,1,470000,"2014-07-08",-33.8455509458881,150.994327082762,1042.11792315145
"163",163,"14/102-104 Lackey Street Merrylands 2160",2,1,1,456100,"2014-07-07",-33.8465962111236,151.001459495631,1408.79649550667
"164",164,"8/7-9 Ellis Street Merrylands 2160",3,2,1,535000,"2014-07-04",-33.8281619333793,150.976974950627,1705.36911017845
"165",165,"14/58 Lansdowne Street Merrylands 2160",2,2,1,470000,"2014-06-17",-33.8461090130015,150.991614782713,1095.72742658557
"166",166,"14/97 Sherwood Road Merrylands 2160",3,1,1,421800,"2014-05-23",-33.8394860522074,150.966807618256,2411.08991571408
"167",167,"1/102-106 Lackey Street Merrylands 2160",3,1,1,475000,"2014-05-16",-33.8464507012844,151.001845482272,1416.89145891583
"168",168,"5/158 Railway Terrace Merrylands 2160",3,2,2,507500,"2014-05-13",-33.843564392926,150.991828353606,811.809869752728
"169",169,"2 Matthew Street Merrylands 2160",3,2,2,585000,"2014-05-10",-33.8422812911879,150.97995262173,1345.67617162557
"170",170,"Unit 11/102-104 Lackey Street Merrylands 2160",3,3,2,485000,"2014-05-09",-33.846621189195,151.00162487058,1419.99060644881
"171",171,"5/9 Kimberley St Merrylands 2160",3,2,2,525000,"2014-05-05",-33.8478275965191,151.000340008643,1469.30428610162
"172",172,"3/42-46 Sheffield Street Merrylands 2160",2,1,1,380000,"2014-05-05",-33.8324099657277,150.98870290955,563.361536098592
"173",173,"5/6 Addlestone Road Merrylands 2160",3,1,1,427500,"2014-04-26",-33.836850614211,150.98742341203,482.562884065052
"174",174,"58/100 Kenyons Rd Merrylands 2160",4,3,2,563000,"2014-04-14",-33.8381570595494,150.969721419257,2125.53367326724
"175",175,"Unit 8/9-11 Kimberley Street Merrylands 2160",3,2,2,508000,"2014-04-04",-33.8478275965191,151.000340008643,1469.30428610162
"176",176,"2/16A Richardson Street Merrylands 2160",3,2,1,545325,"2014-03-24",-33.8277535670566,150.978186973826,1637.50435312676
