"","address","bedroom","bathroom","carspace","soldprice","yearsold","latitude","longitude","distance_to_train_station.km.","distance_class"
"178","3/124-126 Auburn Road Auburn 2144",3,2,1,835000,2017-05-04,-33.8583249663274,151.031805840801,1.04296714260109,"(1,1.25]"
"179","8/124-126 Auburn Road Auburn 2144",3,3,2,840000,2017-05-04,-33.8583249663274,151.031805840801,1.04296714260109,"(1,1.25]"
"180","1/124-126 Auburn Road Auburn 2144",3,2,2,750000,2017-05-04,-33.8583249663274,151.031805840801,1.04296714260109,"(1,1.25]"
"181","11/124-126 Auburn Road Auburn 2144",3,3,2,820000,2017-05-04,-33.8583249663274,151.031805840801,1.04296714260109,"(1,1.25]"
"182","2/64 Harrow Road Auburn 2144",3,2,1,650000,2017-04-26,-33.8574419747374,151.03055500939,0.964437100430219,"(0.75,1]"
"183","4 /14 QUEEN STREET Auburn 2144",3,1,1,7e+05,2017-04-14,-33.8562649040745,151.03589453317,0.854795975218101,"(0.75,1]"
"184","4/20-24 Helena Street Auburn 2144",3,1,1,620000,2017-03-31,-33.8578951842421,151.034867666212,1.00677703478869,"(1,1.25]"
"185","8/17 Kirkham Rd Auburn 2144",3,3,2,638000,2017-03-24,-33.8720158412457,151.020772993109,2.79662026797535,"(2.5,3]"
"186","11/58-60 Helena Street Auburn 2144",3,1,1,738000,2017-03-18,-33.8579273288408,151.030857847552,1.01155917592596,"(1,1.25]"
"187","24 Castle St Auburn 2144",3,2,2,772000,2017-02-21,-33.874632671417,151.019963301262,3.09386793385764,"(3,3.25]"
"188","11/277 Park rd Auburn 2144",3,1,1,570000,2017-02-08,-33.8706394489252,151.025656876632,2.50021326241141,"(2.5,3]"
"189","16/17-21 Kirkham Rd Auburn 2144",3,2,2,680000,2017-02-04,-33.8720158412457,151.020772993109,2.79662026797535,"(2.5,3]"
